session_id,timestamp,click_x,click_y,zone,dimension
20260412_175523_fa92,2026-04-12 18:08:18,270,546,Zone 1,present
20260412_175523_fa92,2026-04-12 18:08:18,548,41,Zone 1,past
20260412_175523_fa92,2026-04-12 18:08:20,433,388,Zone 1,past
20260412_175523_fa92,2026-04-12 18:08:20,487,437,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:21,479,116,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:21,472,145,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:22,250,464,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:22,251,464,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:22,251,464,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:23,251,464,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:23,203,519,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:24,435,169,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:25,342,463,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:25,342,463,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:25,342,463,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:25,342,463,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:26,709,105,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:27,344,402,Zone 1,past
20260412_175523_fa92,2026-04-12 18:08:29,315,511,Zone 1,past
20260412_175523_fa92,2026-04-12 18:08:30,307,291,Zone 1,past
20260412_175523_fa92,2026-04-12 18:08:30,304,292,Zone 1,past
20260412_175523_fa92,2026-04-12 18:08:31,279,368,Zone 1,past
20260412_175523_fa92,2026-04-12 18:08:32,360,440,Zone 1,past
20260412_175523_fa92,2026-04-12 18:08:32,392,399,Zone 1,past
20260412_175523_fa92,2026-04-12 18:08:33,522,452,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:35,442,153,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:35,405,251,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:36,420,131,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:36,427,143,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:37,395,231,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:37,451,170,Zone 5,past
20260412_175523_fa92,2026-04-12 18:08:38,449,172,Zone 5,past
